Date and time,Cooling,Heating,Total
13/02/2010 13,2.86,3.99,6.85
13/02/2010 14,2.99,5.96,8.95
13/02/2010 15,2.1,5.98,8.08
13/02/2010 16,3.89,5.44,9.33
13/02/2010 17,2.08,5.54,7.62
13/02/2010 18,2.91,4.92,7.83
13/02/2010 19,3.05,5.9,8.95
13/02/2010 20,2.93,5.13,8.06
13/02/2010 21,2.99,4.99,7.98
13/02/2010 22,2.02,6.88,8.9
13/02/2010 23,2.96,4.08,7.04
14/02/2010 00,2,3.98,5.98
14/02/2010 01,1.98,1.99,3.97
14/02/2010 02,1.99,3.98,5.97
14/02/2010 03,2,3.98,5.98
14/02/2010 04,1.98,2.98,4.96
14/02/2010 05,1.99,4.15,6.14
14/02/2010 06,3.94,7.13,11.07
14/02/2010 07,2.04,6.49,8.53
14/02/2010 08,3.92,7.78,11.7
14/02/2010 09,2.98,5.16,8.14
14/02/2010 10,2.98,7.76,10.74
14/02/2010 11,2.98,5.41,8.39
14/02/2010 12,2.98,5.76,8.74
14/02/2010 13,2.98,7.97,10.95
14/02/2010 14,2.98,4.97,7.95
14/02/2010 15,2.98,6.46,9.44
14/02/2010 16,2.13,6.49,8.62
14/02/2010 17,2.99,4.98,7.97
14/02/2010 18,2.99,5.68,8.67
14/02/2010 19,2.99,5.96,8.95
14/02/2010 20,2.89,6.27,9.16
14/02/2010 21,3.09,4.97,8.06
14/02/2010 22,2.77,6.65,9.42
14/02/2010 23,2.2,4.62,6.82
15/02/2010 00,1.98,3.32,5.3
15/02/2010 01,2,2.99,4.99
15/02/2010 02,1.99,2.99,4.98
15/02/2010 03,1.98,4.62,6.6
15/02/2010 04,2.99,2.99,5.98
15/02/2010 05,1.71,4.37,6.08
15/02/2010 06,3.28,8.84,12.12
15/02/2010 07,3.68,18.11,21.79
15/02/2010 08,3.3,17.31,20.61
15/02/2010 09,3.66,16.59,20.25
15/02/2010 10,3.63,15.65,19.28
15/02/2010 11,4.97,14.24,19.21
15/02/2010 12,4.33,13.49,17.82
15/02/2010 13,4.61,10.95,15.56
15/02/2010 14,4.97,12.4,17.37
15/02/2010 15,4.75,12.42,17.17
15/02/2010 16,4.59,9.92,14.51
15/02/2010 17,3.98,9.47,13.45
15/02/2010 18,2.98,7.96,10.94
15/02/2010 19,3.41,6.96,10.37
15/02/2010 20,2.99,6.01,9
15/02/2010 21,3.53,6.38,9.91
15/02/2010 22,2.45,5.58,8.03
15/02/2010 23,1.98,3.98,5.96
16/02/2010 00,1.99,3.54,5.53
16/02/2010 01,1.99,3.42,5.41
16/02/2010 02,1.99,2.56,4.55
16/02/2010 03,1.98,4.4,6.38
16/02/2010 04,1.99,3.58,5.57
16/02/2010 05,2.45,3.38,5.83
16/02/2010 06,3.53,8.14,11.67
16/02/2010 07,3.43,14.46,17.89
16/02/2010 08,3.98,14.92,18.9
16/02/2010 09,3.98,15.21,19.19
16/02/2010 10,3.98,14.94,18.92
16/02/2010 11,2.98,13.94,16.92
16/02/2010 12,3.98,11.27,15.25
16/02/2010 13,2.98,9.33,12.31
16/02/2010 14,3.61,7.66,11.27
16/02/2010 15,3.35,7.19,10.54
16/02/2010 16,3.98,9.65,13.63
16/02/2010 17,2.97,9.67,12.64
16/02/2010 18,2.99,6.96,9.95
16/02/2010 19,2.98,5.7,8.68
16/02/2010 20,2.67,5.49,8.16
16/02/2010 21,2.99,8.95,11.94
16/02/2010 22,1.98,6,7.98
16/02/2010 23,1.99,3.22,5.21
17/02/2010 00,2.72,2.98,5.7
17/02/2010 01,2,3.98,5.98
17/02/2010 02,1.87,3.78,5.65
17/02/2010 03,2.36,3.37,5.73
17/02/2010 04,2,3.61,5.61
17/02/2010 05,1.98,3.99,5.97
17/02/2010 06,3.2,7.3,10.5
17/02/2010 07,2.98,14.59,17.57
17/02/2010 08,3.79,15.96,19.75
17/02/2010 09,2.17,14.07,16.24
17/02/2010 10,3.97,12.93,16.9
17/02/2010 11,5.83,14.57,20.4
17/02/2010 12,6.81,10.96,17.77
17/02/2010 13,10.53,13.21,23.74
17/02/2010 14,3.76,16.2,19.96
17/02/2010 15,4.191,12.15,16.341
17/02/2010 16,6.779,8.18,14.959
17/02/2010 17,3.09,11.94,15.03
17/02/2010 18,2.98,12.94,15.92
17/02/2010 19,2.98,12.9,15.88
17/02/2010 20,2.98,10.95,13.93
17/02/2010 21,2.98,10.91,13.89
17/02/2010 22,2.94,5.97,8.91
17/02/2010 23,1.98,3.98,5.96
18/02/2010 00,2.02,2.98,5
18/02/2010 01,2.97,5.96,8.93
18/02/2010 02,1.99,3.51,5.5
18/02/2010 03,2.98,3.46,6.44
18/02/2010 04,1.99,5.92,7.91
18/02/2010 05,1.99,2.15,4.14
18/02/2010 06,3.95,13.57,17.52
18/02/2010 07,2.98,17.68,20.66
18/02/2010 08,3.04,17.01,20.05
18/02/2010 09,3.92,15.12,19.04
18/02/2010 10,10.41,0.62,11.03
18/02/2010 11,7.01,7.73,14.74
18/02/2010 12,0,13.59,13.59
18/02/2010 13,8.88,5.269,14.149
18/02/2010 14,9.44,11.944,21.384
